"BTIHardwarePresent","BTIWindowsSupportPresent","BTIWindowsSupportEnabled","BTIDisabledBySystemPolicy","BTIDisabledByNoHardwareSupport","KVAShadowRequired","KVAShadowWindowsSupportPresent","KVAShadowWindowsSupportEnabled","KVAShadowPcidEnabled","PSComputerName","RunspaceId","PSShowComputerName"
"False","False","False","False","False","True","False","False","False","DC-Web03.dc.bluepoint.com","d05b80e2-ad0d-44f2-a156-9d5784559862","True"
"False","False","False","False","False","True","False","False","False","DC-Web01.dc.bluepoint.com","7a1464c0-554f-48f1-8374-4203d040f187","True"
"False","False","False","False","False","True","False","False","False","DC-App60.dc.bluepoint.com","de5cfeff-d81a-468d-a3af-73ba176e4434","True"
"False","False","False","False","False","True","False","False","False","DC-MFTG01.dc.bluepoint.com","4f0db620-cca5-4ac8-b4b3-5e0135d78ec3","True"
"False","False","False","False","False","True","False","False","False","DC-App01.dc.bluepoint.com","c6eb7e65-564f-477e-af62-8f4ccb7c727d","True"
"False","False","False","False","False","True","False","False","False","DC-App10.dc.bluepoint.com","1e99066e-713c-4d95-b5af-74b0b234cb7e","True"
"False","False","False","False","False","True","False","False","False","dc-hgr-sql02.dc.bluepoint.com","0f92a786-cabe-4311-b53b-ffaee9d75551","True"
"False","False","False","False","False","True","False","False","False","DC-MFT02.dc.bluepoint.com","7b2ac277-f5a3-48aa-af4c-a45f4aefce3a","True"
"False","False","False","False","False","True","False","False","False","DC-HGR-SQL01.dc.bluepoint.com","61cf8145-f7a1-4840-a102-49cde69b3713","True"
"False","False","False","False","False","True","False","False","False","dc-phx-sql02.dc.bluepoint.com","44c2a935-d886-4f9e-8cec-d074567f10ee","True"
"False","False","False","False","False","True","False","False","False","DC-MFTG02.dc.bluepoint.com","2f2d0751-4cda-49c2-b88d-bd6ffc21c89e","True"
"False","False","False","False","False","True","False","False","False","dc-phx-sql01.dc.bluepoint.com","3fa1d355-db3f-434b-b873-d806ab0925f1","True"
"False","False","False","False","False","True","False","False","False","DC-MFT01.dc.bluepoint.com","96d91aee-5e25-4da5-964c-06cee364fd83","True"
"False","False","False","False","False","True","False","False","False","DC-App02.dc.bluepoint.com","6e27f628-3e75-4222-8c28-003696cc669c","True"
"False","False","False","False","False","True","False","False","False","DC-FS01.dc.bluepoint.com","60987960-3dd0-4777-9ffc-20e1a9eb505b","True"
"False","False","False","False","False","True","False","False","False","DC-Web60.dc.bluepoint.com","a7ee1138-d27f-418c-972d-ed9174ad2c75","True"
"False","False","False","False","False","True","False","False","False","dc-phx-backup01.dc.bluepoint.com","018c5c87-6fa1-4cd7-86a9-f07821363372","True"
"False","False","False","False","False","True","False","False","False","dc-hgr-backup01.dc.bluepoint.com","f3f7b6e5-93e0-4265-88ea-86f1e65f644c","True"
"False","False","False","False","False","True","False","False","False","dc-clus01.dc.bluepoint.com","41e211ee-4ae9-4294-aa93-e8855088d3f1","True"
"False","False","False","False","False","True","False","False","False","DC-SQL01.dc.bluepoint.com","323cb28a-8ce1-452d-91a9-1621d26c65e2","True"
"False","False","False","False","False","True","False","False","False","DC-SQL02.dc.bluepoint.com","a11a5cdb-5162-4ed3-a8f9-1933ef9509e6","True"
"False","False","False","False","False","True","False","False","False","DC-App40.dc.bluepoint.com","7a9e591f-a00e-4fc7-b9cb-be4aa412bed7","True"
"False","False","False","False","False","True","False","False","False","DC-App92.dc.bluepoint.com","71d15ef3-6b21-4474-9a40-132df75468b2","True"
"False","False","False","False","False","True","False","False","False","DC-FS100.dc.bluepoint.com","24175489-7e6b-4316-b22a-4059d050f5d6","True"
"False","False","False","False","False","True","False","False","False","DC-App91.dc.bluepoint.com","c904967b-1088-4350-aa71-8d74c490ee6a","True"
"False","False","False","False","False","True","False","False","False","DC-App90.dc.bluepoint.com","42f8aad8-345a-415a-951f-28e18a506d5d","True"
"False","False","False","False","False","True","False","False","False","DC-FS20.dc.bluepoint.com","2dd62fa6-795e-4f70-b42a-d4fc263cc87f","True"
"False","False","False","False","False","True","False","False","False","DC-App20.dc.bluepoint.com","16083dee-7a25-41c3-a224-6aaf999a8432","True"
"False","False","False","False","False","True","False","False","False","DC-App102.dc.bluepoint.com","3571e0dc-b401-49d3-926a-d2ae98d73031","True"
"False","False","False","False","False","True","False","False","False","DC-App103.dc.bluepoint.com","38d9048c-6daf-47e0-8926-e90e4ccd0d78","True"
"False","False","False","False","False","True","False","False","False","DC-App104.dc.bluepoint.com","1c93a44a-f2d5-4c3d-bb20-abade91754bc","True"
"False","False","False","False","False","True","False","False","False","DC-App100.dc.bluepoint.com","e97a71f6-8ba6-4f71-812f-7d2caab87f0a","True"
"False","False","False","False","False","True","False","False","False","DC-App101.dc.bluepoint.com","2d687609-758f-4709-9fdf-52a3a022449b","True"
